year,birth_country,race,sex,family_size,age_1stchild,evpoverty,income,networth,empstatus
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"35","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"35","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"35","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"35","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"35","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"35","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"35","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"35","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"24","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"16","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"29","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"24","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"23","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"23","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"23","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"19","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"19","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"19","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"19","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"19","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"19","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"22","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"22","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"27","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"27","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"27","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"32","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"26","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"22","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"22","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"22","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"31","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"20","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"20","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"23","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"30","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"34","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"25","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"43","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"22","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"22","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"29","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"29","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"28","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"28","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"28","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"15","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"15","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"15","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"15","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"15","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"15","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"28","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"36","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"36","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"20","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"20","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"20","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"20","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"17","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"16","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",7,"24","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"24","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"36","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",10,"36","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"24","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"21","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"21","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"21","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"19","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",10,"26","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"28","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"24","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"24","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"25","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",7,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"15","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"15","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"15","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"15","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"17","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"16","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"35","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"20","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"32","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"34","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",6,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"18","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"18","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"23","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"21","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"21","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"21","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1980,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",8,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",8,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"18","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"20","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"20","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"20","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"24","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"20","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"23","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"33","No",0,,"3: OUT OF LABOR FORCE"
