name,city,predominantdegree,highestdegreegranted,meanearnings7yrs,meanearnings8yrs,meanearnings9yrs,year,undergraduateenrollment
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",2004,178
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2004,83
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",2004,232
"NATIONAL INSTITUTE OF TECHNOLOGY","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2003,766
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",2003,190
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2003,95
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",2003,253
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",2005,112
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2010,91
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2007,83
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2013,58
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2009,96
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2006,85
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2011,64
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2012,85
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2008,69
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2005,87
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",2006,143
"North American University","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2012,169
"North American University","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2013,304
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2007,81
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2013,66
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2012,78
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2009,96
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2008,207
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2010,64
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2011,92
"NCPT","Atlanta","Certificate degree","Predominantly associate's-degree granting","","","",2003,45
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",2015,2106
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",1999,3148
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",2004,2859
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",2002,2729
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",2000,3012
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",1998,3000
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",2001,2970
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",2014,2161
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",1997,2926
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","","",2003,2738
"North American University","HOUSTON","Bachelor's degree","Predominantly bachelor's-degree granting","","","",2014,350
"North American University","HOUSTON","Bachelor's degree","Predominantly bachelor's-degree granting","","","",2015,419
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",1999,1576
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",1997,1781
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",1998,1758
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",2000,1917
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",2003,1663
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",2001,1888
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",2004,1582
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",2002,1699
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",2015,2140
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","","",2014,2221
"National American University-Houston","HOUSTON","Associate's degree","Not classified","","","",2015,253
"Neighborhood Playhouse School of the Theater","New York City","Non-degree-granting","Not classified","","","",1998,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2005,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",1998,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2008,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2009,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2001,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2013,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2015,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2000,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",1999,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2002,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2011,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2007,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2004,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2006,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2010,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2003,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2014,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",1997,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting","","","",2012,
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","33200","","",2005,1703
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","39300","","",2005,2891
"NATIONAL INSTITUTE OF TECHNOLOGY","HOUSTON","Certificate degree","Predominantly certificate-degree granting","24100","","",2005,1455
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","30900","","",2005,329
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","45500","","",2007,161
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","32600","","33900",2007,191
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","39900","","47100",2007,2933
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","33700","","39400",2007,1918
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","28800","","34300",2009,27
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","40000","","45100",2009,2781
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","35100","","36900",2009,2032
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","29200","","29300",2011,121
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","38000","","45100",2011,2569
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","32200","","35700",2011,2104
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","36500","",2006,1717
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","42900","",2006,3029
"NATIONAL INSTITUTE OF TECHNOLOGY","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","24600","",2006,441
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","32400","",2006,249
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","32900","",2008,80
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","52600","",2008,118
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","43400","",2008,2810
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","34500","",2008,1848
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","28700","",2010,72
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","42400","",2010,2673
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","35900","",2010,2121
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","41900","",2012,2421
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","33700","",2012,2255
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","30300","",2012,207
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","29400","",2013,279
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting","","40600","",2013,2372
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting","","32400","",2013,2289
