name,city,predominantdegree,highestdegreegranted,meanearnings7yrs,meanearnings8yrs,meanearnings9yrs,year,undergraduateenrollment
"More Tech Institute","Hialeah","Certificate degree","Predominantly certificate-degree granting",,,,2015,67
"Morgantown Beauty College Inc","Morgantown","Certificate degree","Predominantly certificate-degree granting",,,,2015,67
"Morris County Vocational School District","Denville","Certificate degree","Predominantly certificate-degree granting",,,,2015,50
"MotoRing Technical Training Institute","East Providence","Certificate degree","Predominantly certificate-degree granting",,,,2015,14
"MotoRing Technical Training Institute","Seekonk","Certificate degree","Predominantly certificate-degree granting",,,,2015,314
"Mountain State School of Massage","Charleston","Certificate degree","Predominantly certificate-degree granting",,,,2015,26
"Mountainland Applied Technology College","Lehi","Certificate degree","Predominantly certificate-degree granting",,,,2015,1056
"Mr Bela's School of Cosmetology Inc","Warren","Certificate degree","Predominantly certificate-degree granting",,,,2015,74
"Mr John's School of Cosmetology & Nails-Jacksonville","Jacksonville","Certificate degree","Predominantly certificate-degree granting",,,,2015,35
"Mr John's School of Cosmetology Esthetics & Nails-Decatur","Decatur","Certificate degree","Predominantly certificate-degree granting",,,,2015,66
"Mr Leon's School of Hair Design-Lewiston","Lewiston","Certificate degree","Predominantly certificate-degree granting",,,,2015,27
"Mr Leon's School of Hair Design-Moscow","Moscow","Certificate degree","Predominantly certificate-degree granting",,,,2015,16
"Mr Wayne's School of Unisex Hair Design","Cookeville","Certificate degree","Predominantly certificate-degree granting",,,,2015,44
"Mt. Diablo Adult Education-Mt. Diablo USD","Concord","Certificate degree","Predominantly certificate-degree granting",,,,2015,129
"Mueller College","San Diego","Certificate degree","Predominantly certificate-degree granting",,,,2015,107
"My Le's Beauty College","Sacramento","Certificate degree","Predominantly certificate-degree granting",,,,2015,144
"My Le's Beauty College","Gretna","Certificate degree","Predominantly certificate-degree granting",,,,2015,35
"MyComputerCareer.com-Columbus","Westerville","Certificate degree","Predominantly certificate-degree granting",,,,2015,249
"MyComputerCareer.com-Indianapolis","Indianapolis","Certificate degree","Predominantly certificate-degree granting",,,,2015,219
"MyComputerCareer.com-Raleigh","Raleigh","Certificate degree","Predominantly certificate-degree granting",,,,2015,353
"Myotherapy College of Utah","Salt Lake City","Certificate degree","Predominantly certificate-degree granting",,,,2015,84
"MyrAngel Beauty Institute","San Lorenzo","Certificate degree","Predominantly certificate-degree granting",,,,2015,108
"NASCAR Technical Institute","Mooresville","Certificate degree","Predominantly certificate-degree granting",,,,2015,1499
"NTMA Training Centers of Southern California","Santa Fe Springs","Certificate degree","Predominantly certificate-degree granting",,,,2015,512
"Nashville Barber and Style Academy","Madison","Certificate degree","Predominantly certificate-degree granting",,,,2015,37
"Nashville College of Medical Careers","Madison","Certificate degree","Predominantly certificate-degree granting",,,,2015,141
"National Academy of Beauty Arts-Farmington","Farmington","Certificate degree","Predominantly certificate-degree granting",,,,2015,47
"National Academy of Beauty Arts-St Louis","Saint Louis","Certificate degree","Predominantly certificate-degree granting",,,,2015,115
"National American University-Mesquite","Mesquite","Certificate degree","Predominantly certificate-degree granting",,,,2015,203
"National Aviation Academy of New England","Bedford","Certificate degree","Predominantly certificate-degree granting",,,,2015,218
"National Aviation Academy of Tampa Bay","Clearwater","Certificate degree","Predominantly certificate-degree granting",,,,2015,605
"National Beauty College","Garland","Certificate degree","Predominantly certificate-degree granting",,,,2015,45
"National Beauty College","Canton","Certificate degree","Predominantly certificate-degree granting",,,,2015,46
"National Beauty College","Denver","Certificate degree","Predominantly certificate-degree granting",,,,2015,51
"National Career College","Panorama City","Certificate degree","Predominantly certificate-degree granting",,,,2015,147
"National Career Education","Rancho Cordova","Certificate degree","Predominantly certificate-degree granting",,,,2015,141
"National Career Institute","East Orange","Certificate degree","Predominantly certificate-degree granting",,,,2015,291
"National Conservatory of Dramatic Arts","Washington","Certificate degree","Predominantly certificate-degree granting",,,,2015,39
"National Holistic Institute","Emeryville","Certificate degree","Predominantly certificate-degree granting",,,,2015,900
"National Latino Education Institute","Chicago","Certificate degree","Predominantly certificate-degree granting",,,,2015,95
"National Personal Training Institute","Vienna","Certificate degree","Predominantly certificate-degree granting",,,,2015,136
"National Personal Training Institute of Colorado","Colorado Springs","Certificate degree","Predominantly certificate-degree granting",,,,2015,48
"National Personal Training Institute of Colorado","Lakewood","Certificate degree","Predominantly certificate-degree granting",,,,2015,97
"National Personal Training Institute of Columbus","Columbus","Certificate degree","Predominantly certificate-degree granting",,,,2015,79
"National Polytechnic College","Commerce","Certificate degree","Predominantly certificate-degree granting",,,,2015,198
"National Tractor Trailer School Inc-Buffalo","Buffalo","Certificate degree","Predominantly certificate-degree granting",,,,2015,130
"National Tractor Trailer School Inc-Liverpool","Liverpool","Certificate degree","Predominantly certificate-degree granting",,,,2015,146
"NATIONWIDE BEAUTY ACADEMY","Columbus","Certificate degree","Predominantly certificate-degree granting",,,,2015,82
"NeeCee's College of Cosmetology","Abilene","Certificate degree","Predominantly certificate-degree granting",,,,2015,21
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting",,,,2015,80
"Neilson Beauty College","Dallas","Certificate degree","Predominantly certificate-degree granting",,,,2015,48
"Neosho Beauty College","Neosho","Certificate degree","Predominantly certificate-degree granting",,,,2015,38
"Networks Barber College","Calumet City","Certificate degree","Predominantly certificate-degree granting",,,,2015,21
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting",,,,2015,283
"Nevada Regional Technical Center","NEVADA","Certificate degree","Predominantly certificate-degree granting",,,,2015,16
"New Age Training","NEW YORK","Certificate degree","Predominantly certificate-degree granting",,,,2015,136
"New Beginning College of Cosmetology","ALBERTVILLE","Certificate degree","Predominantly certificate-degree granting",,,,2015,115
"New Castle Beauty Academy","New Castle","Certificate degree","Predominantly certificate-degree granting",,,,2015,39
"New Concept Massage and Beauty School","Miami","Certificate degree","Predominantly certificate-degree granting",,,,2015,29
"New Concepts School of Cosmetology","Cleveland","Certificate degree","Predominantly certificate-degree granting",,,,2015,101
"New Dimensions Beauty Academy Inc","Parker","Certificate degree","Predominantly certificate-degree granting",,,,2015,57
"New Dimensions School of Hair Design","Joplin","Certificate degree","Predominantly certificate-degree granting",,,,2015,63
"NEW ENGLAND HAIR ACADEMY","Malden","Certificate degree","Predominantly certificate-degree granting",,,,2015,132
"New England School of Hair Design","West Lebanon","Certificate degree","Predominantly certificate-degree granting",,,,2015,41
"New England School of Photography","BOSTON","Certificate degree","Predominantly certificate-degree granting",,,,2015,65
"New England Tractor Trailer Training School of CT-Bridgeport","Bridgeport","Certificate degree","Predominantly certificate-degree granting",,,,2015,193
"New England Tractor Trailer Training School of Connecticut","Somers","Certificate degree","Predominantly certificate-degree granting",,,,2015,310
"New England Tractor Trailer Training School of Massachusetts","North Andover","Certificate degree","Predominantly certificate-degree granting",,,,2015,300
"New England Tractor Trailer Training School of Rhode Island","PAWTUCKET","Certificate degree","Predominantly certificate-degree granting",,,,2015,135
"NEW HAMPSHIRE INSTITUTE FOR THERAPEUTIC ARTS","Hudson","Certificate degree","Predominantly certificate-degree granting",,,,2015,37
"New Horizons Medical Institute","Norcross","Certificate degree","Predominantly certificate-degree granting",,,,2015,358
"New Horizons Medical Institute-Winder","Winder","Certificate degree","Predominantly certificate-degree granting",,,,2015,206
"New Life Business Institute","Jamaica","Certificate degree","Predominantly certificate-degree granting",,,,2015,86
"New Professions Technical Institute","Miami","Certificate degree","Predominantly certificate-degree granting",,,,2015,56
"New School of Radio and Television","Albany","Certificate degree","Predominantly certificate-degree granting",,,,2015,65
"New Tyler Barber College Inc","North Little Rock","Certificate degree","Predominantly certificate-degree granting",,,,2015,67
"New York Automotive and Diesel Institute","Jamaica","Certificate degree","Predominantly certificate-degree granting",,,,2015,346
"New York Institute of Beauty","Islandia","Certificate degree","Predominantly certificate-degree granting",,,,2015,112
"New York Institute of Massage Inc","Williamsville","Certificate degree","Predominantly certificate-degree granting",,,,2015,53
"New York Medical Career Training Center","FLUSHING","Certificate degree","Predominantly certificate-degree granting",,,,2015,284
"New York Methodist Hospital Center for Allied Health Education","Brooklyn","Certificate degree","Predominantly certificate-degree granting",,,,2015,227
"New York School for Medical and Dental Assistants","Long Island City","Certificate degree","Predominantly certificate-degree granting",,,,2015,264
"New York School of Esthetics & Day Spa","Tarrytown","Certificate degree","Predominantly certificate-degree granting",,,,2015,77
"NEWBERRY SCHOOL OF BEAUTY","Granada Hills","Certificate degree","Predominantly certificate-degree granting",,,,2015,122
"Newport School of Hairdressing-Main Campus","PAWTUCKET","Certificate degree","Predominantly certificate-degree granting",,,,2015,39
"Niles School of Cosmetology","Niles","Certificate degree","Predominantly certificate-degree granting",,,,2015,53
"North Adrian's College of Beauty Inc","Modesto","Certificate degree","Predominantly certificate-degree granting",,,,2015,280
"North American Trade Schools","Baltimore","Certificate degree","Predominantly certificate-degree granting",,,,2015,558
"North Bennet Street School","BOSTON","Certificate degree","Predominantly certificate-degree granting",,,,2015,154
"North Florida Academy","Orange Park","Certificate degree","Predominantly certificate-degree granting",,,,2015,31
"North Florida Cosmetology Institute Inc","Tallahassee","Certificate degree","Predominantly certificate-degree granting",,,,2015,139
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2015,40
"North-West College-Glendale","Glendale","Certificate degree","Predominantly certificate-degree granting",,,,2015,187
"North-West College-Pasadena","PASADENA","Certificate degree","Predominantly certificate-degree granting",,,,2015,221
"North-West College-Pomona","Pomona","Certificate degree","Predominantly certificate-degree granting",,,,2015,268
"North-West College-Riverside","Riverside","Certificate degree","Predominantly certificate-degree granting",,,,2015,442
"North-West College-West Covina","West Covina","Certificate degree","Predominantly certificate-degree granting",,,,2015,559
"Northcoast Medical Training Academy","Kent","Certificate degree","Predominantly certificate-degree granting",,,,2015,136
"Minnesota School of Cosmetology-Plymouth Campus","Plymouth","Certificate degree","Predominantly certificate-degree granting",,,,2014,86
"Minnesota School of Cosmetology-Woodbury Campus","WOODBURY","Certificate degree","Predominantly certificate-degree granting",,,,2014,138
"Mississippi College of Beauty Culture","Laurel","Certificate degree","Predominantly certificate-degree granting",,,,2014,82
"Mississippi Institute of Aesthetics Nails & Cosmetology","Clinton","Certificate degree","Predominantly certificate-degree granting",,,,2014,58
"Missouri College of Cosmetology North","Springfield","Certificate degree","Predominantly certificate-degree granting",,,,2014,88
"Missouri School of Barbering & Hairstyling-St. Louis","Florissant","Certificate degree","Predominantly certificate-degree granting",,,,2014,20
"Mitchell's Hair Styling Academy-Raleigh","Raleigh","Certificate degree","Predominantly certificate-degree granting",,,,2014,76
"Mitchells Hairstyling Academy-Goldsboro","Goldsboro","Certificate degree","Predominantly certificate-degree granting",,,,2014,46
"Mitchells Hairstyling Academy-Greenville","Greenville","Certificate degree","Predominantly certificate-degree granting",,,,2014,42
"Mitchells Hairstyling Academy-Wilson","Wilson","Certificate degree","Predominantly certificate-degree granting",,,,2014,39
"Mitsu Sato Hair Academy","Overland Park","Certificate degree","Predominantly certificate-degree granting",,,,2014,36
"Model College of Hair Design","Saint Cloud","Certificate degree","Predominantly certificate-degree granting",,,,2014,126
"Modern Beauty Academy","Oxnard","Certificate degree","Predominantly certificate-degree granting",,,,2014,48
"Modern Beauty School Inc","Missoula","Certificate degree","Predominantly certificate-degree granting",,,,2014,45
"Modern Hairstyling Institute-Arecibo","Arecibo","Certificate degree","Predominantly certificate-degree granting",,,,2014,76
"Modern Hairstyling Institute-Bayamon","Bayamon","Certificate degree","Predominantly certificate-degree granting",,,,2014,253
"Modern Hairstyling Institute-Carolina","Carolina","Certificate degree","Predominantly certificate-degree granting",,,,2014,188
"Modern Technology School","Fountain Valley","Certificate degree","Predominantly certificate-degree granting",,,,2014,83
"Modern Welding School","Schenectady","Certificate degree","Predominantly certificate-degree granting",,,,2014,103
"Moler Barber College","Oakland","Certificate degree","Predominantly certificate-degree granting",,,,2014,76
"Moler Barber College","Fargo","Certificate degree","Predominantly certificate-degree granting",,,,2014,7
"Moler Hollywood Beauty Academy","Cincinnati","Certificate degree","Predominantly certificate-degree granting",,,,2014,80
"Moler-Pickens Beauty Academy","Fairfield","Certificate degree","Predominantly certificate-degree granting",,,,2014,74
"Monmouth County Vocational School District","Freehold","Certificate degree","Predominantly certificate-degree granting",,,,2014,98
"Monongalia County Technical Education Center","Morgantown","Certificate degree","Predominantly certificate-degree granting",,,,2014,84
"Monroe 2 Orleans BOCES-Center for Workforce Development","Rochester","Certificate degree","Predominantly certificate-degree granting",,,,2014,108
"Montage Academy","Longmont","Certificate degree","Predominantly certificate-degree granting",,,,2014,49
"Montana Academy of Salons","Great Falls","Certificate degree","Predominantly certificate-degree granting",,,,2014,102
"Monteclaro Escuela de Hoteleria y Artes Culinarias","Rio Grande","Certificate degree","Predominantly certificate-degree granting",,,,2014,11
"Montessori Casa International","Denver","Certificate degree","Predominantly certificate-degree granting",,,,2014,22
"Montessori Education Center of the Rockies","Boulder","Certificate degree","Predominantly certificate-degree granting",,,,2014,11
"Montgomery Beauty School","Silver Spring","Certificate degree","Predominantly certificate-degree granting",,,,2014,134
"Monty Tech","Fitchburg","Certificate degree","Predominantly certificate-degree granting",,,,2014,40
"Moore Career College","Baton Rouge","Certificate degree","Predominantly certificate-degree granting",,,,2014,59
"Moore Norman Technology Center","Norman","Certificate degree","Predominantly certificate-degree granting",,,,2014,750
"Morgantown Beauty College Inc","Morgantown","Certificate degree","Predominantly certificate-degree granting",,,,2014,68
"Morris County Vocational School District","Denville","Certificate degree","Predominantly certificate-degree granting",,,,2014,43
"MotoRing Technical Training Institute","East Providence","Certificate degree","Predominantly certificate-degree granting",,,,2014,10
"MotoRing Technical Training Institute","Seekonk","Certificate degree","Predominantly certificate-degree granting",,,,2014,298
"Mountain State School of Massage","Charleston","Certificate degree","Predominantly certificate-degree granting",,,,2014,21
"Mountainland Applied Technology College","Lehi","Certificate degree","Predominantly certificate-degree granting",,,,2014,815
"Mr Bela's School of Cosmetology Inc","Warren","Certificate degree","Predominantly certificate-degree granting",,,,2014,117
"Mr Bernard's School of Hair Fashion Inc","Lewiston","Certificate degree","Predominantly certificate-degree granting",,,,2014,132
"Mr John's School of Cosmetology & Nails-Jacksonville","Jacksonville","Certificate degree","Predominantly certificate-degree granting",,,,2014,39
"Mr John's School of Cosmetology Esthetics & Nails-Decatur","Decatur","Certificate degree","Predominantly certificate-degree granting",,,,2014,86
"Mr Leon's School of Hair Design-Lewiston","Lewiston","Certificate degree","Predominantly certificate-degree granting",,,,2014,34
"Mr Leon's School of Hair Design-Moscow","Moscow","Certificate degree","Predominantly certificate-degree granting",,,,2014,25
"Mr Wayne's School of Unisex Hair Design","Cookeville","Certificate degree","Predominantly certificate-degree granting",,,,2014,37
"Ms Robert's Academy of Beauty Culture-Villa Park","Villa Park","Certificate degree","Predominantly certificate-degree granting",,,,2014,93
"Mt. Diablo Adult Education-Mt. Diablo USD","Concord","Certificate degree","Predominantly certificate-degree granting",,,,2014,176
"Mueller College","San Diego","Certificate degree","Predominantly certificate-degree granting",,,,2014,105
"My Le's Beauty College","Gretna","Certificate degree","Predominantly certificate-degree granting",,,,2014,35
"My Le's Beauty College","Sacramento","Certificate degree","Predominantly certificate-degree granting",,,,2014,33
"MyComputerCareer.com-Columbus","Westerville","Certificate degree","Predominantly certificate-degree granting",,,,2014,292
"MyComputerCareer.com-Indianapolis","Indianapolis","Certificate degree","Predominantly certificate-degree granting",,,,2014,208
"MyComputerCareer.com-Raleigh","Raleigh","Certificate degree","Predominantly certificate-degree granting",,,,2014,496
"Myotherapy College of Utah","Salt Lake City","Certificate degree","Predominantly certificate-degree granting",,,,2014,63
"MyrAngel Beauty Institute","San Lorenzo","Certificate degree","Predominantly certificate-degree granting",,,,2014,120
"NASCAR Technical Institute","Mooresville","Certificate degree","Predominantly certificate-degree granting",,,,2014,1510
"NTMA Training Centers of Southern California","Santa Fe Springs","Certificate degree","Predominantly certificate-degree granting",,,,2014,242
"Nashville Barber and Style Academy","Madison","Certificate degree","Predominantly certificate-degree granting",,,,2014,59
"Nashville College of Medical Careers","Madison","Certificate degree","Predominantly certificate-degree granting",,,,2014,164
"National Academy of Beauty Arts-Farmington","Farmington","Certificate degree","Predominantly certificate-degree granting",,,,2014,127
"National Academy of Beauty Arts-St Louis","Saint Louis","Certificate degree","Predominantly certificate-degree granting",,,,2014,176
"National Aviation Academy of New England","Bedford","Certificate degree","Predominantly certificate-degree granting",,,,2014,247
"National Aviation Academy of Tampa Bay","Clearwater","Certificate degree","Predominantly certificate-degree granting",,,,2014,692
"National Beauty College","Denver","Certificate degree","Predominantly certificate-degree granting",,,,2014,63
"National Beauty College","Canton","Certificate degree","Predominantly certificate-degree granting",,,,2014,78
"National Beauty College","Garland","Certificate degree","Predominantly certificate-degree granting",,,,2014,50
"National Career College","Panorama City","Certificate degree","Predominantly certificate-degree granting",,,,2014,43
"National Career Education","Rancho Cordova","Certificate degree","Predominantly certificate-degree granting",,,,2014,51
"National Career Institute","East Orange","Certificate degree","Predominantly certificate-degree granting",,,,2014,176
"National Conservatory of Dramatic Arts","Washington","Certificate degree","Predominantly certificate-degree granting",,,,2014,37
"National Holistic Institute","Emeryville","Certificate degree","Predominantly certificate-degree granting",,,,2014,764
"National Latino Education Institute","Chicago","Certificate degree","Predominantly certificate-degree granting",,,,2014,64
"National Personal Training Institute of Colorado","Lakewood","Certificate degree","Predominantly certificate-degree granting",,,,2014,115
"National Personal Training Institute of Colorado","Colorado Springs","Certificate degree","Predominantly certificate-degree granting",,,,2014,78
"National Personal Training Institute of Columbus","Columbus","Certificate degree","Predominantly certificate-degree granting",,,,2014,75
"National Polytechnic College","Commerce","Certificate degree","Predominantly certificate-degree granting",,,,2014,234
"National Tractor Trailer School Inc-Buffalo","Buffalo","Certificate degree","Predominantly certificate-degree granting",,,,2014,89
"National Tractor Trailer School Inc-Liverpool","Liverpool","Certificate degree","Predominantly certificate-degree granting",,,,2014,179
"NATIONWIDE BEAUTY ACADEMY","Columbus","Certificate degree","Predominantly certificate-degree granting",,,,2014,57
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting",,,,2014,87
"Neilson Beauty College","Dallas","Certificate degree","Predominantly certificate-degree granting",,,,2014,51
"Neosho Beauty College","Neosho","Certificate degree","Predominantly certificate-degree granting",,,,2014,44
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting",,,,2014,272
"Nevada Regional Technical Center","NEVADA","Certificate degree","Predominantly certificate-degree granting",,,,2014,19
"New Age Training","NEW YORK","Certificate degree","Predominantly certificate-degree granting",,,,2014,124
"New Beginning College of Cosmetology","ALBERTVILLE","Certificate degree","Predominantly certificate-degree granting",,,,2014,89
"New Castle Beauty Academy","New Castle","Certificate degree","Predominantly certificate-degree granting",,,,2014,34
"New Concept Massage and Beauty School","Miami","Certificate degree","Predominantly certificate-degree granting",,,,2014,39
"New Concepts School of Cosmetology","Cleveland","Certificate degree","Predominantly certificate-degree granting",,,,2014,124
"New Dimensions Beauty Academy Inc","Parker","Certificate degree","Predominantly certificate-degree granting",,,,2014,46
"New Dimensions School of Hair Design","Joplin","Certificate degree","Predominantly certificate-degree granting",,,,2014,51
"NEW ENGLAND HAIR ACADEMY","Malden","Certificate degree","Predominantly certificate-degree granting",,,,2014,168
"New England School of Hair Design","West Lebanon","Certificate degree","Predominantly certificate-degree granting",,,,2014,57
"New England School of Photography","BOSTON","Certificate degree","Predominantly certificate-degree granting",,,,2014,66
"New England Tractor Trailer Training School of CT-Bridgeport","Bridgeport","Certificate degree","Predominantly certificate-degree granting",,,,2014,259
"New England Tractor Trailer Training School of Connecticut","Somers","Certificate degree","Predominantly certificate-degree granting",,,,2014,302
"New England Tractor Trailer Training School of Massachusetts","North Andover","Certificate degree","Predominantly certificate-degree granting",,,,2014,219
"New England Tractor Trailer Training School of Rhode Island","PAWTUCKET","Certificate degree","Predominantly certificate-degree granting",,,,2014,157
"NEW HAMPSHIRE INSTITUTE FOR THERAPEUTIC ARTS","Hudson","Certificate degree","Predominantly certificate-degree granting",,,,2014,32
"New Life Business Institute","Jamaica","Certificate degree","Predominantly certificate-degree granting",,,,2014,42
"New Professions Technical Institute","Miami","Certificate degree","Predominantly certificate-degree granting",,,,2014,67
"New School of Radio and Television","Albany","Certificate degree","Predominantly certificate-degree granting",,,,2014,58
"New Tyler Barber College Inc","North Little Rock","Certificate degree","Predominantly certificate-degree granting",,,,2014,79
"New York Automotive and Diesel Institute","Jamaica","Certificate degree","Predominantly certificate-degree granting",,,,2014,276
"New York Conservatory for Dramatic Arts","NEW YORK","Certificate degree","Predominantly certificate-degree granting",,,,2014,273
"New York Institute of Beauty","Islandia","Certificate degree","Predominantly certificate-degree granting",,,,2014,80
"New York Institute of Massage Inc","Williamsville","Certificate degree","Predominantly certificate-degree granting",,,,2014,103
"New York Medical Career Training Center","FLUSHING","Certificate degree","Predominantly certificate-degree granting",,,,2014,363
"New York Methodist Hospital Center for Allied Health Education","Brooklyn","Certificate degree","Predominantly certificate-degree granting",,,,2014,155
"New York School for Medical and Dental Assistants","Long Island City","Certificate degree","Predominantly certificate-degree granting",,,,2014,328
"New York School of Esthetics & Day Spa","Tarrytown","Certificate degree","Predominantly certificate-degree granting",,,,2014,80
"NEWBERRY SCHOOL OF BEAUTY","Granada Hills","Certificate degree","Predominantly certificate-degree granting",,,,2014,153
"Newport School of Hairdressing-Main Campus","PAWTUCKET","Certificate degree","Predominantly certificate-degree granting",,,,2014,36
"Niles School of Cosmetology","Niles","Certificate degree","Predominantly certificate-degree granting",,,,2014,78
"North Adrian's College of Beauty Inc","Modesto","Certificate degree","Predominantly certificate-degree granting",,,,2014,275
"North American Trade Schools","Baltimore","Certificate degree","Predominantly certificate-degree granting",,,,2014,545
"North Bennet Street School","BOSTON","Certificate degree","Predominantly certificate-degree granting",,,,2014,161
"North Florida Academy","Orange Park","Certificate degree","Predominantly certificate-degree granting",,,,2014,32
"North Florida Cosmetology Institute Inc","Tallahassee","Certificate degree","Predominantly certificate-degree granting",,,,2014,167
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2014,45
"North-West College-Glendale","Glendale","Certificate degree","Predominantly certificate-degree granting",,,,2014,177
"North-West College-Pasadena","PASADENA","Certificate degree","Predominantly certificate-degree granting",,,,2014,193
"North-West College-Pomona","Pomona","Certificate degree","Predominantly certificate-degree granting",,,,2014,280
"North-West College-Riverside","Riverside","Certificate degree","Predominantly certificate-degree granting",,,,2014,392
"North-West College-West Covina","West Covina","Certificate degree","Predominantly certificate-degree granting",,,,2014,550
"Northcoast Medical Training Academy","Kent","Certificate degree","Predominantly certificate-degree granting",,,,2014,202
"Minnesota School of Cosmetology-Woodbury Campus","WOODBURY","Certificate degree","Predominantly certificate-degree granting",,,,1997,44
"Mississippi College of Beauty Culture","Laurel","Certificate degree","Predominantly certificate-degree granting",,,,1997,26
"Missouri School of Barbering & Hairstyling-St. Louis","Florissant","Certificate degree","Predominantly certificate-degree granting",,,,1997,20
"Mitchells Hairstyling Academy-Goldsboro","Goldsboro","Certificate degree","Predominantly certificate-degree granting",,,,1997,43
"Mitchells Hairstyling Academy-Wilson","Wilson","Certificate degree","Predominantly certificate-degree granting",,,,1997,25
"Model College of Hair Design","Saint Cloud","Certificate degree","Predominantly certificate-degree granting",,,,1997,82
"Modern Beauty Academy","Oxnard","Certificate degree","Predominantly certificate-degree granting",,,,1997,69
"Modern Hairstyling Institute-Arecibo","Arecibo","Certificate degree","Predominantly certificate-degree granting",,,,1997,201
"Modern Hairstyling Institute-Bayamon","Bayamon","Certificate degree","Predominantly certificate-degree granting",,,,1997,202
"Modern Technology School","Fountain Valley","Certificate degree","Predominantly certificate-degree granting",,,,1997,258
"Modern Welding School","Schenectady","Certificate degree","Predominantly certificate-degree granting",,,,1997,36
"Moler Barber College","Oakland","Certificate degree","Predominantly certificate-degree granting",,,,1997,25
"Moler Hollywood Beauty Academy","Cincinnati","Certificate degree","Predominantly certificate-degree granting",,,,1997,102
"Moler-Pickens Beauty Academy","Fairfield","Certificate degree","Predominantly certificate-degree granting",,,,1997,65
